id,timestamp,test_field,_rid,_self,_etag,_attachments,_ts,route_origin,route_destination,traffic_route,traffic_duration,weather_temperature,weather_conditions,weather_rain,weather_snow,new_field_1,new_field_2,new_field_3,array_field,nested_field.sub_field_1,nested_field.sub_field_2,nested_field.sub_field_3,traffic_data.route,traffic_data.duration_in_traffic,weather_data.temperature,weather_data.weather_conditions,weather_data.rain,weather_data.snow,air_quality_data.air_quality_index,air_quality_data.components.co,air_quality_data.components.no,air_quality_data.components.no2,air_quality_data.components.o3,air_quality_data.components.so2,air_quality_data.components.pm2_5,air_quality_data.components.pm10,air_quality_data.components.nh3,route_name
data-2024-12-01T14:16:56.573103-Route 2,2024-12-01T14:16:56.573111,,hCl+AN3ccB93AAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB93AAAAAAAAAA==/,"""a8040edf-0000-1100-0000-674c6fd80000""",attachments/,1733062616,,,,,,,,,,,,,,,,Western Ave/A40,2425,285.84,Clouds,0,0,1,247,0.71,15.77,31.83,3.93,2.23,2.55,0.13,Route 2
data-2024-12-01T14:16:57.101770-Route 3,2024-12-01T14:16:57.101791,,hCl+AN3ccB94AAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB94AAAAAAAAAA==/,"""a80424df-0000-1100-0000-674c6fd90000""",attachments/,1733062617,,,,,,,,,,,,,,,,A102,1711,285.78,Clouds,0,0,1,253.68,0.41,17.82,31.83,6.44,2.68,3.06,0.2,Route 3
data-2024-12-01T14:17:58.480711-Route 1,2024-12-01T14:17:58.480717,,hCl+AN3ccB95AAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB95AAAAAAAAAA==/,"""a8049aed-0000-1100-0000-674c70160000""",attachments/,1733062678,,,,,,,,,,,,,,,,A40,1597,285.96,Clouds,0,0,1,253.68,0.41,17.82,31.83,6.44,2.68,3.06,0.2,Route 1
data-2024-12-01T14:17:59.208284-Route 2,2024-12-01T14:17:59.208292,,hCl+AN3ccB96AAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB96AAAAAAAAAA==/,"""a804cced-0000-1100-0000-674c70170000""",attachments/,1733062679,,,,,,,,,,,,,,,,Western Ave/A40,2407,285.84,Clouds,0,0,1,247,0.71,15.77,31.83,3.93,2.23,2.55,0.13,Route 2
data-2024-12-01T14:17:59.681262-Route 3,2024-12-01T14:17:59.681281,,hCl+AN3ccB97AAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB97AAAAAAAAAA==/,"""a804e4ed-0000-1100-0000-674c70170000""",attachments/,1733062679,,,,,,,,,,,,,,,,A102,1721,285.87,Clouds,0,0,1,253.68,0.41,17.82,31.83,6.44,2.68,3.06,0.2,Route 3
data-2024-12-01T14:19:01.346710-Route 1,2024-12-01T14:19:01.346718,,hCl+AN3ccB98AAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB98AAAAAAAAAA==/,"""a804e4fb-0000-1100-0000-674c70550000""",attachments/,1733062741,,,,,,,,,,,,,,,,A40,1582,285.96,Clouds,0,0,1,253.68,0.41,17.82,31.83,6.44,2.68,3.06,0.2,Route 1
data-2024-12-01T14:19:02.472389-Route 2,2024-12-01T14:19:02.472396,,hCl+AN3ccB99AAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB99AAAAAAAAAA==/,"""a80407fc-0000-1100-0000-674c70560000""",attachments/,1733062742,,,,,,,,,,,,,,,,Western Ave/A40,2464,285.84,Clouds,0,0,1,247,0.71,15.77,31.83,3.93,2.23,2.55,0.13,Route 2
data-2024-12-01T14:19:02.880577-Route 3,2024-12-01T14:19:02.880584,,hCl+AN3ccB9+AAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB9+AAAAAAAAAA==/,"""a80417fc-0000-1100-0000-674c70560000""",attachments/,1733062742,,,,,,,,,,,,,,,,A102,1670,285.87,Clouds,0,0,1,253.68,0.41,17.82,31.83,6.44,2.68,3.06,0.2,Route 3
data-2024-12-01T14:20:04.352205-Route 1,2024-12-01T14:20:04.352214,,hCl+AN3ccB9-AAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB9-AAAAAAAAAA==/,"""a904290c-0000-1100-0000-674c70940000""",attachments/,1733062804,,,,,,,,,,,,,,,,A40,1539,285.96,Clouds,0,0,1,253.68,0.41,17.82,31.83,6.44,2.68,3.06,0.2,Route 1
data-2024-12-01T14:20:05.243214-Route 2,2024-12-01T14:20:05.243222,,hCl+AN3ccB+AAAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB+AAAAAAAAAAA==/,"""a904450c-0000-1100-0000-674c70950000""",attachments/,1733062805,,,,,,,,,,,,,,,,Western Ave/A40,2413,285.84,Clouds,0,0,1,247,0.71,15.77,31.83,3.93,2.23,2.55,0.13,Route 2
data-2024-12-01T14:20:05.705885-Route 3,2024-12-01T14:20:05.705892,,hCl+AN3ccB+BAAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB+BAAAAAAAAAA==/,"""a904590c-0000-1100-0000-674c70950000""",attachments/,1733062805,,,,,,,,,,,,,,,,A102,1721,285.87,Clouds,0,0,1,253.68,0.41,17.82,31.83,6.44,2.68,3.06,0.2,Route 3
data-2024-12-01T14:21:07.096311-Route 1,2024-12-01T14:21:07.096318,,hCl+AN3ccB+CAAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB+CAAAAAAAAAA==/,"""a904d01c-0000-1100-0000-674c70d30000""",attachments/,1733062867,,,,,,,,,,,,,,,,A40,1554,285.96,Clouds,0,0,1,253.68,0.41,17.82,31.83,6.44,2.68,3.06,0.2,Route 1
data-2024-12-01T14:21:08.023881-Route 2,2024-12-01T14:21:08.023887,,hCl+AN3ccB+DAAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB+DAAAAAAAAAA==/,"""a904ef1c-0000-1100-0000-674c70d40000""",attachments/,1733062868,,,,,,,,,,,,,,,,Western Ave/A40,2361,285.84,Clouds,0,0,1,247,0.71,15.77,31.83,3.93,2.23,2.55,0.13,Route 2
data-2024-12-01T14:21:08.462186-Route 3,2024-12-01T14:21:08.462193,,hCl+AN3ccB+EAAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB+EAAAAAAAAAA==/,"""a904061d-0000-1100-0000-674c70d40000""",attachments/,1733062868,,,,,,,,,,,,,,,,A102,1725,285.87,Clouds,0,0,1,253.68,0.41,17.82,31.83,6.44,2.68,3.06,0.2,Route 3
data-2024-12-01T14:22:09.947725-Route 1,2024-12-01T14:22:09.947735,,hCl+AN3ccB+FAAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB+FAAAAAAAAAA==/,"""a9049f27-0000-1100-0000-674c71110000""",attachments/,1733062929,,,,,,,,,,,,,,,,A40,1526,285.96,Clouds,0,0,1,253.68,0.41,17.82,31.83,6.44,2.68,3.06,0.2,Route 1
data-2024-12-01T14:22:10.784783-Route 2,2024-12-01T14:22:10.784791,,hCl+AN3ccB+GAAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB+GAAAAAAAAAA==/,"""a904c227-0000-1100-0000-674c71120000""",attachments/,1733062930,,,,,,,,,,,,,,,,M4,2502,285.84,Clouds,0,0,1,247,0.71,15.77,31.83,3.93,2.23,2.55,0.13,Route 2
data-2024-12-01T14:22:11.191660-Route 3,2024-12-01T14:22:11.191667,,hCl+AN3ccB+HAAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB+HAAAAAAAAAA==/,"""a904cd27-0000-1100-0000-674c71130000""",attachments/,1733062931,,,,,,,,,,,,,,,,A102,1780,285.87,Clouds,0,0,1,253.68,0.41,17.82,31.83,6.44,2.68,3.06,0.2,Route 3
data-2024-12-01T14:23:12.553907-Route 1,2024-12-01T14:23:12.553917,,hCl+AN3ccB+IAAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB+IAAAAAAAAAA==/,"""a9042f34-0000-1100-0000-674c71500000""",attachments/,1733062992,,,,,,,,,,,,,,,,A40,1500,285.96,Clouds,0,0,1,253.68,0.41,17.82,31.83,6.44,2.68,3.06,0.2,Route 1
data-2024-12-01T14:23:13.476289-Route 2,2024-12-01T14:23:13.476297,,hCl+AN3ccB+JAAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB+JAAAAAAAAAA==/,"""a9047634-0000-1100-0000-674c71510000""",attachments/,1733062993,,,,,,,,,,,,,,,,Western Ave/A40,2511,285.97,Clouds,0,0,1,247,0.71,15.77,31.83,3.93,2.23,2.55,0.13,Route 2
data-2024-12-01T14:23:13.903131-Route 3,2024-12-01T14:23:13.903140,,hCl+AN3ccB+KAAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB+KAAAAAAAAAA==/,"""a9048f34-0000-1100-0000-674c71510000""",attachments/,1733062993,,,,,,,,,,,,,,,,A102,1736,285.95,Clouds,0,0,1,253.68,0.41,17.82,31.83,6.44,2.68,3.06,0.2,Route 3
data-2024-12-01T14:24:15.220026-Route 1,2024-12-01T14:24:15.220032,,hCl+AN3ccB+LAAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB+LAAAAAAAAAA==/,"""a904ac41-0000-1100-0000-674c718f0000""",attachments/,1733063055,,,,,,,,,,,,,,,,A40,1514,285.96,Clouds,0,0,1,253.68,0.41,17.82,31.83,6.44,2.68,3.06,0.2,Route 1
data-2024-12-01T14:24:16.034868-Route 2,2024-12-01T14:24:16.034875,,hCl+AN3ccB+MAAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB+MAAAAAAAAAA==/,"""a904ce41-0000-1100-0000-674c71900000""",attachments/,1733063056,,,,,,,,,,,,,,,,Western Ave/A40,2490,285.97,Clouds,0,0,1,247,0.71,15.77,31.83,3.93,2.23,2.55,0.13,Route 2
